Review,label,confidence
semoga kedepannya kepolisian republik indonesia bisa buat aplikasi yang dapat digunakan seperti imigrasi,Neutral,0.999726236
sangat membantu cocok buat yang tidak ada waktucuma saran untuk di tingkatkan lagi dalam pelaksanaan nya sukses selalu buat korlantas kepolisian republik indonesia,Positive,0.999457777
yang belum instal mending langsung saja kalau mau prpnjangstlh dftarkurng lebih 15 hari baru prosesnah pasa prosesnya ini udah sbulan lebih masih saja prosessmpe sim udah mati belum jadi jgsatu yang di kwatirkanmisal ada rziasim sudah matipdhal udah prpnjang jauh sebelum sim matiapa mereka mau terima kalau di bilang udah di prpnjng tapi belum jadi,Negative,0.999720871
walau sempat di tolak 1x karena alasan antrean penuh alhamdulillah percobaan kedua nya berhasil terima kasih polrestabes bandung terimakasihnpolda jabar,Positive,0.999317765
alhamdulillah proses mudah hanya isi formulir dan kerjakan tugas setelah itu bayar dan menunggu sim datang ke rumah,Positive,0.998381972
gagal terus pas verifikasi kartu tanda penduduk padahal sudah ikuti intruksi nya,Negative,0.999598801
tidak bisa di gunakan buat sim baru tidak bisa,Negative,0.999433815
proses lama dan ujung ujungnya ditolakpdhl semua syarat sudah dilengkapi apa karena biaya lebih murah dari perpanjangan offline jadi lebih susah lolosnya padahal 4 tahun yang lalu gampang² saja,Negative,0.999821603
kadang bug tidak jelas anjir,Negative,0.9995327
tidak bisa masuk dengan handphone saya aplikasinya,Negative,0.995957553
loading terus coba berjam jam tidak bisa masuk ke aplikasi kemarin ggal tidak bisa melakukan pembayaran sekarang tidak bisa memasukkan alamat pengiriman hadeuuhhh,Negative,0.994230747
meminta konfirmasi di email sudah sukses konfirmasi masih belum bisa di buka di menu sim,Neutral,0.999709308
tolong lah lebih di perhatian lagi aplikasi nya masak tinggal pembayaran terakhir tidak bisa,Neutral,0.998583794
nih aplikasi bukanya buat orang gampang malah buat ribet,Negative,0.999619603
selalu keluar tulisan too many request jadi tidak bisa bisa memverifikasi gmail terus udah nge chat di email di whatsapp dan dilain lain juga buat meminta solusi tidak ada respon berhari hari,Neutral,0.999449432
mau verifikasi kartu tanda penduduk gagal terus sudah dicoba 1000 kali,Neutral,0.796678126
editornya kurang pro dalam mengedit foto dan tertanda nya,Negative,0.999434769
tolong di perbaiki masalah di posnya masa pemilihan provinsinya tidak di temukan tolong segara di perbaiki bug pada provinsinya,Neutral,0.992762744
mantap aplikasi ini bisa diandalkan tidak perlu lagi datang tempatnya,Positive,0.999236345
niatnya ingin mempermudah perpanjang sim tapi saat membuat akun dan melakukan verifikasi wajah berkali selalu gagal akhirnya saya hapus data dan uninstall,Neutral,0.999604404
kok saya ketika memilih provinsi buat pengiriman sim nya tidak bisa ya tidak ditemukan terus,Negative,0.99409759
sering error,Negative,0.987545192
aplikasi sering error,Negative,0.999291778
kok vuma perpanjangan saja,Negative,0.999792159
apakah kakak kayak begini udah selesai semuanya giliran mau pembayaran sim tidak bisa coba lagi terus kalau memang apakah untuk mempermudah pelayanan masyarakat coba di perbaiki lagi karena sebenarnya membantu kalau online itu tidak semua orang ada waktu buat datang langsung ke samsat buat perpanjang sim,Negative,0.829986572
agak ribet jgpengajuan ditolaksdh memperbaharui datatp tidak bisa diperbaharui lagi,Negative,0.999539495
di nganjuk masih antre,Neutral,0.999339879
mudah simpel sangat membantu bagi pekerja yang susah libur,Positive,0.999343812
3 hari saya selesai mengurus perpanjang online untuk yang lama semua tergantung satpas over load apa tidak,Neutral,0.77858144
parah untuk pembayaran sim sangat susah padahal sudah bayar psikotesny rugi kalau tidak tuntas secara online tahu begini mending dari awal langsung ke satpas admin nomor respon parah pelayanannya percuma ada menu pengaduan tapi tidak berguna,Negative,0.999884486
sangat membantu,Positive,0.999589026
percuma serba teknologi kalau layanan seperti ini,Negative,0.999806941
kenapa menunya tidak tersedia di pembuatan sim baru katanya masih pengembangan aneh,Negative,0.999858022
oke,Neutral,0.999501824
sangat membantu,Positive,0.999589026
proses nya lambat 5 hari masih 40,Negative,0.994789004
aplikasi sampah layanan belum tersedia mulu,Negative,0.999857664
saya ucapkan terima kasih kepada tuhan yang maha esa korlantas kepolisian republik indonesia kepolisian daerah metro jaya satpas depok kantor pos indonesia perpanjangan sim a dan c murah dan cepat semoga selalu sukses dan sehat selalu amin,Positive,0.999467671
maaf kita berikan bintang 1 agar menjadi perhatian instansi terkait kenapa ya aplikasi pemerintah atau instansi pemerintah tidak bisa sebaik aplikasi swasta jangan bicara sempurna baik saja dulu dimana fungsifungsinya berjalan dengan baik aplikasi perpanjangan sim banyak memvalidasi data seharusnya dari awal memasukan data langsung di verifikasi kalau tidak sesuai data yang bersifat pasti bagaimana kalau dianggap foto tidak sesuai apa dasarnyapadahal sudah diikuti templatenya ayo bagaimana,Negative,0.999430597
untuk perpanjangan sim sudah oke fitur lainnya banyak yang belum tersedia,Neutral,0.997811019
sangat membantu sekali,Positive,0.999306083
kalau belum berfungsi dengan baik mending dihapus saja dari playstore,Neutral,0.983769
tidak membantu banyak banget kekurangan nya yang harusnya jadi simpel malah makin repot kalau memang belum siap buat buat sistem secara online mending tidak usah rilis aplikasi dulu edited akhirnya bisa juga ternyata tidak harus dari kepolisian daerah sesuai domisili,Negative,0.999528408
kenapa tidak bisa melakukan pembuatan sim setiap mau tekan menu sim selalu verifikasi email padahal sudah dilakukan verifikasi,Neutral,0.840376675
sangat lama,Negative,0.999872923
aplikasi sedot pulsa polisi polisi belum apa apa sudah,Neutral,0.997921884
perpanjangan berhasil mesti agak lama dan mendekati masa aktif habis terima kasih,Negative,0.766828001
apakah enggak guna apa maksudnya apa hanya syarat saja kalau lantas ada apknya,Neutral,0.982516408
banyak banget fitur yang tidak bisa di gunakan,Negative,0.998931468
menyesal banget perpanjang sim di sini,Negative,0.999886155
rekan nya tidak ada yang respon ketika ada kendala baik di whatsapp instagram dan lainnya sudah berhari hari di lapor juga tidak ada tanggapan buat apa ada aplikasi ini mau mudah malah jadi ribet dan sulit,Negative,0.999728382
40 belum maju2 ke proses,Neutral,0.9926368
selalu gagal dalam pengajuan perpanjangan sim,Negative,0.992353022
ribet banget harus ada faskes segala rupa tujuan lewat online itu biar tidak ribet ini malah makin ribet ada psikotes segala,Negative,0.99925667
ditolak refundnya tidak 100 rugiiiiiii,Positive,0.990257621
prosesnya lama coba 1 bulan 2 minggu,Negative,0.999712646
aplikasi bodong,Negative,0.999863029
di perbaiki lagi,Neutral,0.999474466
hebat,Positive,0.999706089
sangat membantu dan sangat bermanfaat,Positive,0.999651551
login memasukkan nomer gagal terus pulsa juga sudah di isi,Neutral,0.995588541
mantap pak,Positive,0.99972111
pelayanan yang sangat cepat,Positive,0.99967289
top joss,Positive,0.998732984
sekarang serba digital buat sim lewat langsung oke korlantas makin okey,Positive,0.952568412
terima kasih sangat membantu,Positive,0.999680758
mantap cepat tidak banyak mau terima kasih sinar,Negative,0.999485731
saya memperpanjang sim kok muncul begini ya silakan melakukan registrasi di kantor terdekat atau daftar disatpas penerbit karena data nomer sim tidak ditemukan dalam database server kami padahal sim saya saja ada digitalnya di aplikasi,Negative,0.993775606
dari bulan agustus coba sekarang masih proses coba kapan,Neutral,0.995938659
keren sangat membantu,Positive,0.999563277
mengecewakan tidak bisa login menggunakan nomor handphone disarankan agar ditambahkan opsi login menggunakan email atau nik,Negative,0.999850154
proses pembuatan sim secara online sangat mudah,Positive,0.999717653
ini niat tidak sih buat aplikasi sudah 7 hari kerja perpanjangan sim belum juga diproses hubungin admin cuma di read saja tidak tahu adminnya kerja apa tidak tidak nyaut sama sekali kurang uang pelicin apa ya butuh uang berapa sih untuk menambahkan isi perut kalian itu,Negative,0.999728739
sangat puas dan membantu sekali,Positive,0.999607503
rugi 100k lebih cuma buat bolak balik tes kesehatan gara² antrean perpanjangan sim menumpuk aplikasi sering ngelag dan tidak bisa di akses,Negative,0.999644876
makin mudah cepat tidak perlu antre cukup klik dari handphone ditunggu inovasinya,Positive,0.998634875
untuk proses pengajuan perpanjang sim dari proses verifikasi data coba tes eppsi e rikkessampai pembayaran sih cepat tapi setelah ituproses sangat sangat lambat dan lama akhirnya karena sudah mepet tanggal jatuh tempo saya pengajuan perpanjangan online tanggal 2122024 9122024 belum selesai akhirnya pergi ke polisi resor dan melakukan perpanjangan sim secara manual dan cuma 2 jam semuanya selesai,Negative,0.999764264
aplikasinya tidak sesuai sudan tes psikologi dan bayar ini di oflfine di suruh tes psikologi dan di suruh bayar lagi,Neutral,0.816895545
mantapbuat korlantas serang banten gercel banget,Positive,0.999491096
alhamdulillah sukses perpanjangan sim,Positive,0.9997527
aplikasi apa ini tidak jelas kepolisian republik indonesia ini hapus saja apakah ini bukan nya mempermudah rakyat malah makin mumet tidak usah pakai online nan offline nya saja di perbagus lagi struktur nya,Negative,0.999463022
untuk info sim belum diperbarui ya padahal sudah di perpanjang secara offline tapi data di aplikasi belum di pembaruan dan hampir lewat masa berlakunya mohon dikembangkan secara bertahap terima kasih banyak,Neutral,0.999415874
luar biasa digital korlantas,Neutral,0.996560395
baru mau daftar memasukkan nomor handphone terus buat pin tiba tiba tidak bisa masuk alasannya anda telah masuk lebih dari tiga jali harap coba kembali lagi besok buset baru juga masuk sekali aplikasinya tidak membantu buat kesal,Negative,0.997883618
kenapa kok halaman untuk buat sim nya belum bisa digunakan,Negative,0.999245882
sangat membantu dan mudah digunakan,Positive,0.99959892
sudah 2bln lebih tidak selesai selesai,Negative,0.999815762
selalu gagal verifikasi kartu tanda penduduk,Negative,0.564850688
proses pembuatan sim lama hubung rekan not respon agen akan segera membantu tapi tidak ada yang respon harusnya ada yang cepat tanggap memproses sim yang buat melalui aplikasi digital jangan di abaikan apalagi tidak di proses2jadi untuk apa dibuat aplikasi segalabukannya mempermudah malah memperlama sudah hampir 2 bulan tidak diproses dan tidak dikirim2 parah sih ini adalah,Negative,0.999798119
selalu gagal pas di verifikasi kartu tanda penduduk ulang ulang foto wajah padahal semua syarat sudah memenuhi,Negative,0.989992321
apps nya tidak berpungsi pas ferivikasi elektonik kartu tanda penduduk nya tidak mau cape buka mulut nganguk² geleng² kayak pinjol,Negative,0.999787629
aplikasi tidak guna,Negative,0.99987793
aplikasi ruwet tidak guna dibuat daftar saja tidak bisa ada menu scan data tapi tidak bisa juga ada menu tempel sim ke handphone pun juga tidak bisanfc kalau tidak niat buat aplikasi mending tidak perlu buat aplikasi buang buang duit negara saja kalian,Negative,0.999875546
baguuusss,Negative,0.875192225
kok buat sim baru tidak bisa aplikasi dalam pengembangan terus,Negative,0.999833703
uang pajak elite bayar developer sulit masa aplikasi dibuka susah crash loading terus masa aplikasi sekelas kepolisian nuansanya rendahan begitu,Negative,0.999875188
memudahkan,Positive,0.999632597
tidak bisa buat sim online,Negative,0.997483671
sangat mudah untuk perpanjangan sim c terimah kasih sudah mempermudahman,Positive,0.999637485
perpanjang sim sedang dalam proses lama sekali ujung ujungnya sim coba mati akhirnya buat sim baru lahi tolonglah jangan mempersulit proses yang sebenarnya mempermudah kami,Negative,0.999741018
mantap,Positive,0.999696374
sangat lambat proses perpanjang sim coba masa aktif sim saya habis coba saat ini sim saya masih dalam proses dengan rincian 40 belum tahu berhasil atau tidak berhasil,Negative,0.999851942
sangat puas,Positive,0.99971658
bagus,Positive,0.999703705
sangat membantu dalam perpanjagan sim,Positive,0.999544203
pelayanan lama layanan pelanggan juga slow respon dan jika komplain malah tidak dibalas,Negative,0.999823391
mempermudah perpanjangan sim saran harus 1bulan sebelum sim mati ya,Neutral,0.997415781
mudah dan cepat,Positive,0.999601901
mantap,Positive,0.999696374
dua kali daftar perpanjangan sim di tolak terus alasan file pecah buram terus untuk pengemblian dana juga tidak full di potong 16500 jadi kalau beberapa kali ditolak ya rugi di ptongan nya,Negative,0.99987185
sangat membantu dalam perpanjangan sim dapat membantu terhindar dari praktik pungutan liar,Positive,0.999431551
kalau belum siap untuk beroperasi kenapa di promosikan jadix kan kamu kamu unduh aplikasi tidak guna,Negative,0.917950928
oke,Neutral,0.999501824
mantap,Positive,0.999696374
izin bertanyasaya kan dari kampung terus nikah buat kartu tanda penduduk jaksel apakah alamat di sim bisa di rubah atau harus buat sim yang baru sesuai alamat jakarta tempat tinggal saya yang sekarang saya kasih bintang 3 dulu nanti kalau sudah di jawab dengan detail nanti saya tambahkan lagi bintang nya tks,Neutral,0.994081676
dengan keterbatasan waktu dengan adanya sistem online sangat membantu dengan catatan sesui prosedur dan tahapan yang sesui pasti cepat,Positive,0.998933256
apa bisa perpanjng simklu luar pulau pakai aprikasi,Neutral,0.999716938
dicoba berkali kali tidak berhasil keterangan server sedang masalah keburu abia masa berlaku sim ku,Negative,0.511360765
ini verifikasi email tidak dikirim kode verifikasinya,Neutral,0.986534655
kalau aplikasinya belum siap meningan jangan dulu diterbitkan kebanyakan pelayanan belum tesedia,Negative,0.986964941
perpanjangan sim lebih mudah dan tentunya lebih murah asalkan dapat satpas yang tepat,Positive,0.999459922
kecewa sudah bayar psikotest online lanjut pemberkasan selanjutnya untuk erikkes dapat barcode lalu ke polisi resor pesawaran ternyata kliniknya tidak di polisi resor diarahkan ke klinik coba klinik polisi resor pesawaran lalu disuruh ke polisi resor lagi tidak bisa kalau online sampai polisi resor tidak bisa diarahkan ke polresta bandar lampung kalau belum siap jangan di rilis dulu pak kasihan masyarakat pak sudah bayar sudah pergi kesana kesini mengurus nya hilang duit psikotest,Negative,0.999874115
kirim kode otp lama amat lewat sms pak,Negative,0.999714673
satpas di jawa timur parah tidak menerima online pesan dan instruksi pak listyo tidak dijalankan,Negative,0.999423862
jelek,Negative,0.999869943
pelayanan lama,Negative,0.99986589
sering eror,Negative,0.999434412
sekarang register perpanjangan sim susah server eror terus data kurang dari 100 kb resoluai 480x640 pixel tidak masuk masuk,Negative,0.999379158
tiba tiba error,Negative,0.999874711
saat verifikasi muka mau secerah dan sejelas apapun mukanya tetap tidak terverifikasi mempersulit saja,Negative,0.999749482
mudah diikuti tahapantahapannya tetapi mohon tempat untuk pemeriksaan kesehatan di tambah,Neutral,0.99949193
aplikasi tidak berguna tidak bermanfaat tidak berfungsi untuk wilayah kediri tidak bisa online perpanjang sim harus lewat calo halo developer korlantas kepolisian republik indonesia hapus saja sekian terimakasii,Negative,0.999862075
verifikasi kartu tanda penduduk gagal terus padahal mencoba sudah ratusan kali padahal hasilnya foto sudah jelas bagaimana sih,Negative,0.999464929
bagus aplikasinya,Positive,0.999686003
verifikasi kartu tanda penduduk pada bagian scan wajah susah padahal susah sesuai petunjuk,Negative,0.99981302
buruk pelayanan lambat,Negative,0.999884605
aplikasi tolol hapus saja opsi buat sim nya kalau tidak tersedia aplikasi cuma buat buat perpanjangan doang,Neutral,0.997418761
proses cepat dan mudah,Positive,0.999611914
susah benar verifikasi e ktpnya terutama saat foto livenes padahal sudah mengikuti arahan aplikasi tapi gagal terus,Negative,0.999815285
terima kasih untuk pelayanan yang sangat baik sangat terbantu dengan layanan ini perpanjang sim cepat dan mudah,Positive,0.999736965
alasan server,Neutral,0.983398914
kendala sistem pada tahap pengiriman lewat jasa pos sudah mencoba 2 hari dan masih seperti itu tidak ada respon perbaikan akun media korlantas yang dihubungi juga nomor respon,Neutral,0.999658108
ini bagaimana mau isi alamat pengiriman gagal terus sistem gangguan,Negative,0.999812305
kenapa sekarang kok sering ganguan,Negative,0.999798119
aplikasi busuk bukan mempermudah malah ribet gagal terus,Negative,0.999880672
aplikasi yang sangat baik,Positive,0.999634981
sejauh ini aplikasi untuk sim baik sekali lancar ditunggu perkembangan aplikasinya bisa meng cover semua layanan pengendara lalu lintas terima kasih salam presisi,Positive,0.998281121
mantap sekali hitungan hari sim saya coba di rumah,Positive,0.999593675
bagus sekali gays,Negative,0.998311996
aplikasi nya kurang respon dan lemot dan kurang detail,Negative,0.999841928
mantap sangat membantu,Positive,0.999655724
bagus mempermudah,Positive,0.999673843
pada saat pengisian alamat malah gangguan sistem mau sampai kapan bukan mempermudah malah dipersulit dengan aplikasi yang tidak jelas jika belum sempurna dan lebih banyak gangguannya mending jangan diluncurin dulu masalahnya sim saya sudah mau habis masa aktifnya mohon segera diatasi,Negative,0.999857903
alhamdulillah berhasil,Positive,0.999736369
sebentaran doang onliennya yang penting ikuti saja perintahnya sim 3 hari sampai mantap,Neutral,0.823957562
perpanjangan sim ditolak karena data tidak ada di database padahal berkas lengkap semua malah merugikan,Negative,0.999831557
semua fitur yang ditawarkan belum seutuhnya dapat digunakan,Neutral,0.999201357
tolong lah kenapa dari kemarin kemarin layanan belum tersedia,Neutral,0.992807031
untuk membuat sim baru dan menaikkan peningkatan sim belum bisa,Neutral,0.999243021
aplikasi pemerintah selalu tidak jelassasal jadi saja soalnya yang penting cuann,Negative,0.997787237
verifikasi terus sampai 100 kali gerakan tidak sesuai buat emosi saja,Negative,0.999888062
lihat tutorialnya di youtube jadi mudah dan praktis buat perpanjang sim bisa di luangkan waktu saja di rumah,Neutral,0.963898718
aplikasi sampah ini pendaftaran pembuatan sim baru dari 7 bulan yang lalu tidak bisa,Negative,0.9998703
aplikasi beloon sudah verifikasi tetap saja tidak bisa apa buat kayak begini anggran besar apikasi ke begini,Neutral,0.974737227
aplikasi nya tolong di perbaiki agar masarakat mudah menggunakan nya jaringan padahal bagus tapi untuk pendaptaran di aplikasi katanya jaringan jelek,Negative,0.999855757
mantap,Positive,0.999696374
sangat membatu,Positive,0.99963963
sangat puas,Positive,0.99971658
sangat puas untuk hasilnya dan sangat puas untuk aplikasi layananya dan 1 saran semoga di aplikasinya kedepannya ada aplikasi via chat untuk konfirmasi via direct message ya pak terima kasih salam hormat,Positive,0.999607861
mau buat sim onlenwkwkkw mu ferisikasi kartu tanda penduduk saja tidak bisa kocak apakah ini,Neutral,0.995127916
sangat membantu untuk saya yang berada jauh sekali dan tidak ada satlantas,Positive,0.996069431
mantap pengiriman cepat,Positive,0.999660969
sangat puassss,Positive,0.99967885
kasih infomari ya telat proses iya lambat,Negative,0.812590957
sangat mendungkung,Positive,0.988744855
mau buat sim baru online layanan belum tersedia,Neutral,0.99968493
dengan adanya aplikasimemudahkan untuk perpanjangan simyg tidak mau datang ke polisi resor,Neutral,0.998760462
sangat membantu terutama bagi yang memiliki keterbatasan waktu dan jarak,Positive,0.999378324
jelek banget verifikasi wajah susah pol mencoba 20 kali tidak bisa bisa anjir yang wajah tidak sesuai lah yang gerakan tidak sesuai lah sampai capeee,Negative,0.999873877
tidak niat buat aplikaai enggak usah dibuat buang anggaran negara saja kalian,Negative,0.999856114
sangat baik dan cukup profesionalmungkin perlu ditambah perangkat nya lagi sehingga proses setelah rerbayar tidak terlalu lama,Positive,0.999029994
pembuatan sim baru tidak bisa,Negative,0.999767482
keren,Positive,0.999696136
sangat puas cepat dan jooos,Positive,0.999689698
tahap verifikasi elektonik kartu tanda penduduk saja sulit apalagi ke tahap selanjutnya,Negative,0.999838233
perpanjangan sim c belum beres² sudah 3 bulanmana sudah expire lagi sim nyaadduhh,Neutral,0.574843705
sangat membantu,Positive,0.999589026
kalau untuk handphone yang tidak kompatibel unduh nya gimana,Neutral,0.977150679
sangat memudahkan pokoknya,Positive,0.999606788
saya sudah coba cukup di rumah kita bisa proses perpanjangan sim,Neutral,0.99973923
sangat membantu,Positive,0.999589026
sudah android 9 kok tidak bisa unduh,Negative,0.999664545
udah 1 bulan lebih masih diproses lambat banget,Negative,0.999620438
saya bingung rata rata komentar orang bagus tapi kok aplikasinya sama saya tidak bisa ya,Negative,0.9998523
mantap,Positive,0.999696374
bad aplikasi,Neutral,0.933740497
baik,Positive,0.999500275
mantap memudahkan untuk perpanjang sim,Positive,0.999498367
sudah perpanjang sim tapi tidak terdeteksi di aplikasi digital korlantas kemudian sudah info pengaduan tidak ada respon juga,Neutral,0.999595463
unggah dokumen selalu internal server eror bagaimana mau perpanjangnya,Negative,0.999108016
lancar2 saja hanya saja untuk aplikasi kesehatan tidak bisa direfresh program akan kembali ke masukan sandi,Neutral,0.854204535
verifikasi elektonik kartu tanda penduduk gagal terus padahal anggaran aplikasi tinggi,Negative,0.607195437
verifikasi elektonik kartu tanda penduduk susah,Negative,0.999615908
mantap banget,Positive,0.999685526
prosesnya sudah oke tapi masih ada sedikit kendala seperti back sendiri saat pengisian data,Neutral,0.984551489
sangat membantu dan mudah sekali,Positive,0.999632955
sim c saya berhasil tapi sim a ditolak dengan alasan sim tidak berlaku padahal pembuatan dan masa berlaku sama seperti sim c,Neutral,0.769526303
mau verifikasi elektonik kartu tanda penduduk saja tidak bisa padahal jaringan wifi dan internet nomor problem kok tolong di benarkan lagi,Negative,0.99878794
cepat banget gila tidak sampai seminggu sudah sampai rumah,Negative,0.598955691
masih banyak eror nya,Negative,0.999873042
,Positive,0.999595702
setelah pembaruan an kenapa face verification elektonik kartu tanda penduduk jadi susah banget,Negative,0.99936825
sangat membantu proses sesuai dengan waktu yang diberikan 7 hari,Positive,0.999484897
proses cepat tidak ribet,Positive,0.998987973
prosesnya lama hampir 2 minggu lebih tapi status masih tetap proses,Negative,0.951350272
sampai berapa puluh kali verifikasi wajah masih tetap saja tidak terdeteksi tolong permudah dan fast respond,Negative,0.838543773
sangat puas terima kasih satuan tugas serang banten karena sangat cepat prosesnya dan tanggap,Positive,0.999727428
prosesnya mudah dan gampanghanya prosesnya coba sim nya jadi dan coba rumah10 hari,Positive,0.984957814
perpanjang sim jauh lebih mudah dan murah,Positive,0.999681711
mempermudah dan menjauhkan gratifikasi,Positive,0.943321466
aplikasinya tidak rekomen,Neutral,0.720677316
sangat membantu dalam proses perpanjangan sim secara online memberikan kemudahan bagi kesulitan untuk melakukan perpanjangan secara offline semoga ke depan bisa juga untuk pembuatan sim baru,Positive,0.999533415
pelayanannya bagus,Positive,0.999734461
polisi resor serang the best lah,Positive,0.998336673
sanhat puas,Positive,0.999684095
aplikasi yang sangat membatu sekali saat perpanjangan sim tidak perlu antre simpletranparan dan terpercaya salam presisi,Positive,0.999599516
ini aplikasi apa enggak jelas semua fitur dan fungsi tidak tersedia dan masih dalam pengembanganuseless,Negative,0.999049723
memuaskan,Positive,0.999676824
mantap,Positive,0.999696374
cepat mudah dan gampang,Positive,0.997522652
1 bulan prosesnya alhamdulillah lancar,Positive,0.999732554
hampir 2bulan belum beres juga masa berlaku tinggal beberapa hari lagi padahal sedang proses tapi tidak bere2 itupun belum tentu berhasil takutnya ada data yang belum lengkap edisi mereka pilihan pengiriman atau ambil sendiri alamat tidak ditemukan padahal sudah sesuai akhirnya pilih ambil sendiri memang lebih murah sih tapi buat was2 tapi kayak tetap saja bakal ke satpas karena masih belum jadi coba sekarang walaupun di satpas banyak keluar duit tidak jelas banyak masuk saku pribadi seperti uang asuransi,Negative,0.99976784
salam presisi,Positive,0.999699712
